ZCTA,Total_Pop,P_BelowPovLevel,P_Unemployed,P_less_than_HS_grad,P_uninsured
29434,446,2.5,27.8,35.08064516,17.54385965
29435,3700,13.3,9.8,18.98613104,25.87051143
29436,3974,15.3,20.9,7.480694981,21.45536384
29437,2157,14.9,10.4,11.91198786,16.53966831
29438,2430,5.3,10.5,7.355371901,15.89098532
29439,2215,14,2,2.731929425,21.53110048
29440,28545,24.2,14.9,16.07970664,20.76699382
29445,52935,11.4,11.6,7.31505171,16.06219579
29446,1209,9.5,14.3,5.427631579,11.44915933
29448,2453,20,13,11.9738073,20.41808459
29449,7740,13,11.9,13.94366197,17.23196881
29450,2816,8.6,21,13.61470388,18.79751209
29451,4217,8.8,16.5,0.602409639,7.181796634
29452,383,14.4,32.3,18,12.87553648
29453,1425,10.9,17.2,14.03712297,28.22468793
29455,20039,13,7,11.67479137,20.78863035
29456,28931,11.7,11.5,9.640086481,17.27736549
29458,2286,27.3,22.1,33.86484434,26.8692523
29461,29752,17,12.1,13.08139535,18.38724403
29464,44239,8.9,6.7,2.896075004,10.03281657
29466,28032,8.4,7,2.372104546,7.107107107
29468,1856,35,24.8,28.8981289,24.03846154
29469,550,13.5,9.2,20.98765432,10.5785124
29470,4094,18,15.9,15.72460688,20.63303189
29471,1428,6,1,19.83471074,10.49204052
29472,7731,12.9,12.3,19.19121085,15.11003071
29474,2327,15.4,14.1,23.42896175,27.60814249
29475,2946,25.7,24.4,14.61590755,16.22957051
29477,6248,21.8,13.3,14.04511278,15.74268628
29479,7545,26.9,15.3,10.31525851,22.38239757
29481,1958,27.9,13,18.78669276,28.12202097
29482,1905,7.1,4.3,1.263537906,2.640934485
29483,65860,12.6,12.5,11.03422851,17.32393073
29485,46636,8.9,9,6.12166275,12.18474182
29487,2863,18.6,8.2,15.11056511,13.88508892
29488,21384,23.4,14.4,16.14180479,18.12534767
29492,10419,4,8.1,3.78569137,10.2189781
29493,98,9.2,9.8,13.20754717,14.95327103
29501,41935,16.6,9.8,8.716281522,13.44594438
29505,25867,12.3,10.9,8.288082309,9.724749773
29506,19920,28.7,18.7,17.16373098,18.46625468
29510,10970,34.6,16.6,21.95443419,31.61660777
29511,4483,13.7,12.3,12.31507397,12.51569694
29512,15663,30.4,15.9,23.89883833,18.64535769
29516,881,8.7,5.8,27.41312741,11.11111111
29518,1210,22.8,0,17.37400531,17.79279279
29519,231,16.9,26.6,24.03846154,28.91156463
29520,13897,25.8,13.6,15.57689778,18.84668508
29525,1638,26.3,18.2,17.30337079,15.25215252
29526,36241,20.9,9.9,14.73560391,18.85327039
29527,24161,26.5,16.4,16.2494058,24.18397018
29530,2361,13.4,15.1,31.54471545,19.51427354
29532,19996,24.7,16.4,19.83162728,18.89479387
29536,16804,35,14.3,30.34105167,18.66636296
29540,6249,28.4,22.9,29.7655768,19.80435902
29541,7733,21.5,9.8,15.92342832,16.50439883
29543,382,11,2.5,21.95945946,12.8256513
29544,5048,21,11.3,23.69634622,11.13875598
29545,1803,27.7,8.1,14.41441441,11.04387292
